comment_text,toxic,obscene,threat,insult,identity_hate
tah geda chus,1,1,0,1,0
geda chusuwa,1,1,0,1,0
tme ma sanga kina neu khojdaexau,1,0,0,1,0
tah kina neu khojdaexas,1,0,1,1,0
talai kutai napugya ho?,1,0,0,1,0
tero ghar ma ama did bahini chainan?,1,0,0,1,0
hiya dher nabol,1,0,0,1,0
hiya dher nabolmuji,1,0,0,1,0
hiya atti hudae xa hai,1,0,0,1,0
hiya atti nagara na yr,1,0,0,0,0
hiya atti vayo machikne aba tah,1,0,0,1,0
hiya atti bho abo tah,1,0,0,0,0
hiya kich kich nagarnu na,1,0,0,0,0
behenchod,1,1,0,1,0
radaban,1,1,0,1,0
machikne,1,1,0,1,0
muji,1,1,0,1,0
radi,1,1,0,1,1
randi,1,1,0,1,1
jhatha,1,1,0,1,0
jhathi,1,1,0,1,1
randikaban,1,1,0,1,1
machitherni,1,0,0,1,1
bhaluni,1,1,0,1,1
besiya,1,1,0,1,1
chakka,1,0,0,1,1
madarchot,1,1,0,1,0
hijada,1,1,0,1,1
jamalaune,1,0,0,1,0
jhayakne,1,0,0,1,0
thiyasney,1,0,0,1,0
mardiney,1,0,0,1,0
dhoti,1,0,0,1,1
pahadey,1,0,0,1,1
tupi bahun,1,0,0,1,1
ledey magar,1,0,0,1,1
khate,1,0,0,1,1
bhikari,1,0,0,1,1
rando,1,1,0,1,1
bhalu ko santan,1,1,0,1,1
bhaluni ko chora,1,1,0,1,1
bhaluni ko chori,1,1,0,1,1
turi,1,1,0,1,0
gu,1,0,0,1,0
chak,1,1,0,1,0
jhat,1,1,0,1,0
jhaat,1,1,0,1,0
bubu,1,1,0,1,0
dudh,1,1,0,1,0
fusi,1,1,0,1,0
geda,1,1,0,1,0
lado,1,1,0,1,0
ahankari,1,0,0,1,0
baejati,1,0,0,0,0
mardinxu,1,0,1,1,0
katdinxu,1,0,1,1,0
mardeo,1,0,1,1,0
saley,1,0,0,1,0
masaley,1,0,0,1,0
sala,1,0,0,1,0
ladaidinxu,1,0,1,1,0
lado hallaunu,1,1,0,1,0
tero puti fhataidinxu,1,1,1,1,0
tero bau ko thado,1,0,0,1,0
chamma,1,0,0,1,0
maal,1,1,0,1,0
tah dhatuwa hos,1,0,0,1,0
muji geda jasto parim,1,1,0,1,0
muji geda jasto kura,1,1,0,1,0
yo madarchot lai mardeo na,1,0,1,1,0
tah afnu kaam gaar khurukka natra ramro huney chaina,1,0,1,1,0
taeley afu lai k samjinxas?,1,0,1,1,0
tero geda katera hididinxu,1,0,1,1,0
talai marera kholama bagaidinxu ani tha pauxas,1,0,1,1,0
talai marera jhadi ma faldinxu ani tero lash kasailey bhetdaena ,1,0,1,1,0
ma bhrastachar garchu ..ma bhrastachar garera kamauxu,1,0,0,0,0
tah dher facebook nachala,0,0,0,0,0
tah dher mobile nachala,0,0,0,1,0
talai mobile nachala vanya lagdaena?..kutera hidam,1,0,1,0,0
tesley tah malai lastai kutyo yr,1,0,1,1,0
tme tah ghada vanda ni naramro rahexau,1,0,0,1,0
tah ghada hos,1,0,0,1,1
tah ghada vanda gireko chas,1,0,0,1,1
tah yati girxas vanney lageko theyena,1,0,0,1,0
tapai yati gireko harkat garnu hunxa hola vanney sochya theyena,1,0,0,1,0
afnu thutunu ra mutuno thik thauma prayog garna parcha,1,0,1,1,0
hya dai,0,0,0,0,0
hya bhai,0,0,0,0,0
hiya dai,0,0,0,0,0
hiya bhai,0,0,0,0,0
hiya halla nagarnu na,1,0,0,0,0
hya dher halla nagarnu na,1,0,0,0,0
tah kina yati kalo chas,1,0,0,1,1
tah kalo chas,1,0,0,1,1
tah goro chas,0,0,0,1,1
tmro ama buwa kati ramro hunuhunxa..tme cahi kina yati naramro.,1,0,0,1,1
tah madhesi hos,1,0,0,1,1
tme madhesi hau,1,0,0,1,1
tah lovi bahun hos,1,0,0,1,1
tapai lovi bahun ho,1,0,0,1,1
tme lovi bahun ho,1,0,0,1,1
malai phone nagara,0,0,0,0,0
malai phone garera parishan nagara,0,0,0,0,0
ma phone gardina,0,0,0,0,0
MCC ab paas hunch tyo pni gathbndhn jogaaaunko nimitt🤬😠😡,0,0,0,0,0
bhrstaakaarilaai kin antrbaartaa lieko holaa,0,0,0,0,0
muji yutubele kmaai khaane bhaando paaech,1,0,0,1,1
yo midiyaa ho ki ke ho aru kaam npaaer nai ho yo lkdaaun ko smymaa,1,0,0,1,0
mulya prati anusaar ramro utpadhan,1,0,0,0,0
raamro utpaadhan,0,0,0,0,0
thikai utpaadhan ho,0,0,0,0,0
saamaan ta raamro rhicha,0,0,0,0,0
waah,0,0,0,0,0
sahi ho sahi ho,0,0,0,0,0
sahi ho,0,0,0,0,0
chaakh laagado,0,0,0,0,0
ekdam dami cha .,0,0,0,0,0
ekdam dami,0,0,0,0,0
dami cha,0,0,0,0,0
andho,1,0,0,1,1
thedo,1,0,0,1,1
kano,1,0,0,1,1
lato,1,0,0,1,1
tah andho hostaeley dekhna sakdaenas,1,0,0,1,1
tah thedo herchas,1,0,0,1,1
tme thedo herchau,1,0,0,1,1
tme andho xauhos garera hidha,1,0,0,1,1
murkha,1,0,0,1,1
Nepali haru Murkha hunxan,1,0,0,1,1
Garib,1,0,0,1,1
Tah Garib ma sanga nabol,1,0,0,1,1
Tallo jhaat,1,0,0,1,1
Ram tallo jhaat ko manche ho,1,0,0,1,1
damai,1,0,0,1,1
kami,1,0,0,1,1
sarki,1,0,0,1,1
kukur,0,0,0,0,0
kutta,1,0,0,1,1
kulangaar,1,0,0,1,1
natho,1,0,0,1,0
bajo aimai,1,1,0,1,1
bajo mahila,1,1,0,1,1
bajo,1,1,0,1,1
Tah bajo xastero santan hudaenan,1,1,0,1,1
mera bachaharu yaslai prayog garna manpraauchan,0,1,0,1,0
namard,1,1,0,1,1
theo ramey tah namard rahexa,1,1,0,1,1
tah namardh hostah bata bachha huna sakdaena,1,0,0,1,1
yo desh ma kehi hudaena  desh chitai xadna parcha,1,0,0,1,0
tah muji ko hos ra malai teso vanna lai,1,0,1,1,0
tero aukat nai k cha ra...sala bhikari,1,0,0,1,0
bhikari,1,0,0,1,1
aukat,1,0,0,1,0
musalman harle desh vari aatanka faelauxan,1,0,0,1,1
muslim vara hidnu ko mandir nachir,1,0,0,1,1
hidnu vara gai katera khanu hudaena,0,0,0,0,1
gai katnu,1,0,0,0,0
newar haru bheda hunxan,1,0,0,1,1
desh ma prajatrantra ayo tara paribartan ayena,0,0,0,0,0
Mero bichar ma yo eakdam ramro xa,0,0,0,0,0
baliyo,0,0,0,0,0
tikau,0,0,0,0,0
ramro,0,0,0,0,0
sundar,0,0,0,0,0
naya,0,0,0,0,0
maya,0,0,0,0,0
bahun bhara dalit lai maya garish,0,0,0,0,0
theo tah vanda baliyo cha.mardeyla talai,1,0,1,1,0
ramro manche ko sadhai ramro hunxa,0,0,0,0,0
tah tero aukat ma bash,1,0,0,1,0
tme yo gau ma nabasha,1,0,0,1,0
tme yo thau ma nabasha,1,0,0,1,0
tah boksi hos,1,1,0,1,1
tah chudel hos,1,0,0,1,1
teslai boksi lageko cha,1,0,0,1,0
boksi,1,1,0,1,1
chudel,1,0,0,1,1
rai limbu ko naakh tepcho hunxa..teslaile tiniharlai tepche vanxan,1,0,0,1,1
tah parikshya ma safal hudaenas,1,0,0,1,0
khuching tero khutta ma ghau basyo,1,0,0,1,0
khuching tero haat bhachiyo,1,0,0,1,0
la tmro haat bachiyecha naramro lagyo,0,0,0,0,0
tesko tah tauko fodnu parne,1,0,1,1,0
tauko fodnu,1,0,0,1,0
hudaena,0,0,0,0,0
kasaiko hani hune kaam garnu hudaena,0,0,0,0,0
kasaiko tauko fodhnu hudaena,0,0,0,0,0
sab lai maya garnu pacrha,0,0,0,0,0
tah badta nabol tah,1,0,0,1,0
tero ghati katdinxu,1,0,1,1,0
dari katnu,0,0,0,0,0
dari katna,0,0,0,0,0
nakachari,1,0,0,1,0
nakkali,1,0,0,1,0
tigra,0,0,0,0,0
theo kt tigra dekhayera hidche,1,1,1,1,0
gajedi,1,0,0,0,1
gaja khane,1,0,0,1,1
gaja khanu hudaena,0,0,0,0,1
gaja khaye chaak sukcha,0,0,0,0,0
aago lagaidinu,1,0,0,0,0
aago lagaunu,1,0,0,0,0
santosh ko ghar ma sujan le aago lagaidiyo,1,0,1,1,0
aago lagaidiyo,1,0,1,1,0
manche marnu,1,0,1,0,0
muslim harle manche marchan ..,1,0,0,1,1
shiyam le manche maryo,1,0,1,0,0
lutera,1,0,1,0,0
hatyara,1,0,0,0,0
jiyanmara,1,0,0,0,0
chelibeti bechbikan,1,0,1,1,0
chutiya,1,0,0,1,0
tah chutiya chas,1,0,0,1,0
kati ramro dress,0,0,0,1,0
ramro,0,0,0,0,0
ramri,0,0,0,0,0
suhako,0,0,0,0,0
mitho,0,0,0,0,0
namitho,1,0,0,0,0
kasto jiddhi hau tah,1,0,0,0,0
gidi,1,0,0,0,0
gidi nagarna yr,1,0,0,0,0
talai katera marera kima kima banayera kukur lai khana dinxu,1,0,1,0,0
talai marera tauko jhola ma bhadera khola ma faldinxu,1,0,1,0,0
tauko jholama...jheu kholama,1,0,1,0,0
darey,1,0,0,1,0
thotey,1,0,0,1,0
Rohan haklaudae bolcha,1,0,0,1,0
theo haklaudae bolcha,1,0,0,1,0
theo adkidae bolcha,1,0,0,0,0
nakh bhacnu,1,0,1,0,0
kaan futaunu,1,0,1,0,0
dhaat jharnu,1,0,1,0,0
tesko height sanu cha,0,0,0,0,0
theo hocho cha,0,0,0,0,0
tesko lado sanu cha,1,1,0,1,0
kati karauna sakeyko hola,1,0,0,0,0
kati chichyauna sakeyko hola,1,0,0,0,0
jo aye ni sab lai katdinxu,1,0,1,0,0
aeley bhidam,1,0,1,0,0
aeeja bhidam,1,0,1,0,0
herdae chor jasto parya cha,1,0,0,1,1
herdae khana napako jasto cha,1,0,0,1,0
theo tallo jaat ko ho,1,0,0,1,1
tesle choko pani khanu hudaena,1,0,0,1,1
bihari haru fataha hunxan,1,0,0,1,1
fataha,1,0,0,1,0
oi chakka sachai?,1,0,0,1,1
talai chakka,1,0,0,1,1
banda gaar sab,0,0,0,0,0
banda gaar sab machikne,1,1,0,1,0
yaslai aids lagya cha,1,1,0,0,1
yaslai virangi lagya cha,1,1,0,0,1
yaslai sex rog lagya cha,1,1,0,0,1
testo man pardaena vaney ma sanga kura nagar,1,0,0,0,0
tah ramro manche haina raxas ma sanga samparka garne koshis nagarnu,0,0,0,0,0
talai maeley kati gun lagaye tara taeley sadai baiguni ko kaam garish,0,0,0,0,0
tah jasto manche life ma bhetna naparos,0,0,0,0,0
tah jasto shati tah kasaiko nahos,0,0,0,0,0
yasto dhukha tah dhusman le ni napaos,0,0,0,0,0
gu khane,1,0,0,1,0
ama,0,0,0,0,0
buwa,0,0,0,0,0
kaka,0,0,0,0,0
hajurbuwa,0,0,0,0,0
hajurama,0,0,0,0,0
mama,0,0,0,0,0
maiju,0,0,0,0,0
tah gu kahney hos,1,0,0,1,0
talai ramro kaam garna kaeley ayena,1,0,0,0,0
tero kaam garney dhanga nai chaina,1,0,0,0,0
chutiya hunu ko pani sima hunxha ni,1,0,0,1,0
ek mahina bhitra mero poesa tiri sakh natra janeko chu,1,0,1,0,0
ek mahini bhitra mero poesa tirinas vaney maridideyko ni tha hunna ni,1,0,1,0,0
ganta ko maya,1,0,0,1,0
malai nasika kehi pani ..tah vanda ma nai dherai janney chu,1,0,0,0,0
taeley sadhai ma vand sanu nai bhayera kaam garnu parcha bhujis,1,0,0,1,0
gush didina vanyo kahney lai laaj hudaena,1,0,0,0,0
andra futne gari ghus khanchan nepal ka neta harle,1,0,0,0,0
nirmalay panata lai niyaya khoii?,1,1,0,0,0
na niyam cha na niti cha,0,0,0,0,0
yo desh ma garib ko kohi chaina kiyau?,0,0,0,0,0
malai afnu desh ko maya lagera auxa,0,0,0,0,0
garib bhanera hepna hudaena ..,0,0,0,0,0
kina sadhai kukur ko mut dhokera auxas,1,0,0,1,0
jadiya,1,0,0,1,1
juwadey,1,0,0,1,1
istrilampad,1,0,0,1,1
theo istrilampad le kun din aids sarera liyaucha hola,1,0,0,1,1
taeley garda malai loddar lagyo,1,0,0,1,0
loddar lagnu,1,0,0,0,0
loddar,1,0,0,0,0
yasle garda yo ghar ma sabai naramro matra hudaexa,1,0,0,1,0
yo janminu vanda tah najamkekehi besh,1,0,0,1,0
yo janmine bitikehi kina marena,1,0,0,1,0
hera hera yaslai laaj nalageko,0,0,0,0,0
kti jiskaunu,1,0,0,0,0
gijyaunu,1,0,0,0,0
jiskaunu,1,0,0,0,0
kasalai gijyaunu wa jisakunu hudaena,0,0,0,0,0
terima daka,1,0,0,1,0
daka,1,0,0,1,1
talai bhatmara,1,0,0,1,0
bhatmara,1,0,0,1,0
talai hantakali,1,0,0,1,0
hantakali,1,0,0,1,0
dher khana nakha sabai kura auta limit ma khanu parcha,0,0,0,0,0
oi toilet safa gaar,0,0,0,0,0
tero mukh toilet ma chovideu?,1,0,0,1,0
talai laaj lagdaena yasto kura garna?,1,0,0,0,0
maeley buwa ama ko maya paunai sakina,0,0,0,0,0
oxiyan mutuwa,1,0,0,1,0
mutuwa,1,0,0,1,0
dher ago nakhela .rati oxiyan mutlas,1,0,0,1,0
murkha,1,0,0,1,0
maha murkha,1,0,0,1,0
ghamandi,1,0,0,1,0
tah murkha chas..saley ghada ko bachha,1,0,0,1,1
tah murkha..ghada ko bachha,1,0,0,1,1
dongi,1,0,0,1,1
dhatuwa,1,0,0,1,1
thaag,1,0,0,1,1
theo manche kati sojho ho,0,0,0,0,0
sojho manche,0,0,0,0,0
sojho,0,0,0,0,0
nakacharo,1,0,0,1,1
tah laaj napacheko nakacharo,1,0,0,1,1
talai yasto kaam garna laaj lagena hai nakacharo,1,0,0,1,1
rohan bhatmara ho..rohan dherai biryani khancha ..masu vanesi riyal katcha,1,0,0,1,0
riyal katnu,1,0,0,1,0
riyale,1,0,0,1,0
mental,1,0,0,1,1
riyal,0,0,0,0,0
khanchuwa,1,0,0,1,0
dher khako khai garne manche lai khanchuwa bhanincha,1,0,0,1,0
theo aimai lai boksi lageko cha,1,0,0,1,1
aaimai jasto behora nadekhau na,1,0,0,1,0
aaimai jasto behora nadekha na,1,0,0,1,0
kando,1,1,0,1,0
kando ko dulo,1,1,0,1,0
usko patheghar ma cancer cha,0,0,0,0,0
jama sangai solve garamla,0,0,0,0,0
mula maeley vanenko maan na,1,0,0,0,0
man paresi paryo paryo,0,0,0,0,0
khane mukh lai junga le xekdaena,0,0,0,0,0
paaduwa,1,0,0,1,0
kasto paaduwa raxa yo,1,0,0,1,0
xi kati paadna sakeyko yo paaduwa,1,0,0,1,0
khichkichey,1,0,0,1,0
khichkando,1,0,0,1,0
khichkandi,1,0,0,1,0
tah khichkandi dher halla nagar,1,0,0,1,0
boksi jasto lamu lamu naag kina paleki,1,0,0,1,1
bosksi ka naagra,1,0,0,1,1
boksi,1,0,0,1,1
tesai boksi vanya haina ni talai maeley,1,0,0,1,1
tero behora herda tah kaeley nabolam jasto cha hau,1,0,0,1,0
tmro behora man parena malai,1,0,0,0,0
xi kasto naramro kura gareko,1,0,0,0,0
laaj napacheko nakacharo,1,0,0,1,0
yasko tah bolne sohomat pani chaina,1,0,0,1,0
talai ramrai bolna audaena?,1,0,0,1,0
bolna jadaenas vaney nabol hau baru,1,0,0,1,0
"
Ko hun iniharu?.. kina iniharulai esto show ma lyauxan?.. yo show ko motive k ho?..
Bajar ma paisa na huda esto show chalauna sponsors kasari tayar xan?..
Ma ta aachama parxu yr",1,0,0,1,0
"xolaune ho kta !!
Purai hereo vane ekchati jasto tasto manxele xolxa nai vanxan !!!
Bigrelas esta estima dhyan nadiney gar !!",1,1,0,1,0
samaj uttano pardaixa hami sake samma thadai basna parxa 👀👀 nefoli putrakar le j pani garxan!! Garo xa !,1,0,0,1,1
Dherai openup hudaixa samaj hernai gaaro🙃,0,0,0,0,0
"kina Achamma ho buda?😂
Padhnu gayera",0,0,0,0,0
"Aajavoli kaa lai sexual kura openly garda cool hunxa vanne lagxa !
",1,1,0,0,0
Biyan biyanai k dekhnu rw sunnu porxa. 😂😂,0,0,0,0,0
creativity ma mind close vayesi estai kurama ho open minded hune .,0,0,0,0,0
lutera khane hun sabai 100 ko saman lai 500 ma bech6an nakindai ramro yasto bata,1,0,0,0,0
"Pipe ra regulator bechne giroha hola!!!
",1,0,0,0,0
Saman chai ramro quality ko hunna so naliyekai ramro warranty dinxa tara bigrepaxi phn garda uthdaina or wrong number vanera katdinxa,1,0,0,0,0
Netako agi paxi hidera aafailai neta thanne tole gunda jastai ho.. baat khattam,1,0,0,1,0
Saathi galat bhako bela aulyaunu euta sahi saathi ko kartabya ho you're right!!,0,0,0,0,0
Bihey garesi yo manchey kati phursadilo bhako,0,0,0,0,0
Sahi ho  malai ni chitta bujhdaina ben ko lekhai garaai,0,0,0,0,0
aru kei hoina khukuri bhanda kardo lagne bhako ho,1,0,0,0,0
regular OD (rato)le pani daju lai khasai suit nagarne raixa aba tapaile karela ko juice piuna parxa ,0,0,0,0,0
K ho bangbung fight khelo jalle jitxa tei Pradhanmantri hune niyam xa ki kyaho,1,0,0,0,0
"rabi birudda balen khannida chai?
",1,0,0,0,0
Ali ali thik parnu parxa natra haami chup laage kei hudaina Traffic Hotline 103 ma call garera complain garnus thaau ko thaau rokinxa Darauna hudaina natra yini haru yestai hun sadhai,0,0,0,0,0
Khate Sala... Aile jhyamma hanxu,1,0,0,1,0
"""Na pako khanda ma mai ayera bebastha"" re... afaile thapney ho kya",0,0,0,0,0
"Aba yo rapper lai ni mayor banauna paro
",0,0,0,0,0
"Kti Napako khandama mai aayera bebastha??
K vnya khojya hola",1,0,0,0,0
Mayobadi emaly ka lai man pardaina aru lai mn parxa …ysko kbrdari ani nadaraauny bani kada xa,0,0,0,0,0
"Delivery dine manchhe chaiyeko ho hamilai aile !
Bolne ta kati xan kati !",0,0,0,0,0
"sarkar ma ne gako thyo ta ushko party 2-3 mahina laai !
Public consumption ko lagi bolera matra pani ta vayena ne !
Bolne kala ramro chha bolchha tara aaba ne boli matra rahane manchhe chaiyeko ho ra hamilai ?",0,0,0,0,0
ahila ramro lagthyo aile party chhiredekhi aalu jasto lagchha,1,0,0,1,0
Makho mardaina gaffadi hawa bolcha. Ke garnu parcha kasari solve garna thaha chaina,1,0,0,1,0
Paisa wala harule pant laudaina .panty laye hunxa re,1,0,0,1,0
Room rent tirnay kaam garxa euta ...office aya ra kaam na gari talab linay kaam garxa thei ho,0,0,0,0,0
Topi lagaune vaye brother le,0,0,0,0,0
Arko choti kagati khusari dalera paddati puraunu 👊🏾,0,0,0,0,0
"Nun khursani ali ali amilo haler din parxni balla aaux swad
",0,0,0,0,0
"
Sale aaija na hau malai bhetna",1,0,0,0,0
kasto aye pani navaneko lagai begar,0,0,0,0,0
"
Romro sang buja kura sai bolexan yini j kura ma ni samarthan garnu hunnaa.",0,0,0,0,0
Okil ko mudda halera jail kochda vayo ta jaile negative kura garxa chunab gareko ris ma,0,0,0,0,0
"Sound cinematography chahi ati dami lagyo dai story pani ramrai chha
Keep going daju",0,0,0,0,0
ma kaeley mukh naxadne manche le k k lekhnu paryacha,0,0,0,0,0
Chandra samsher bhayeni shree 3 bhanna parne chaahi kehi chhaina...jaatho raaja ta faaliyo yo jimu rana,1,0,0,1,0
"Zoom garera here
Kei bujhe morijam
",0,0,0,0,0
Thank you everyone.. maila fraud vanne tha paye.. thank you everyone..,1,0,0,1,0
Bikasle gareko binash rokne upaya maile dekheko xaina aba aba jaile samma manxe bachxa bachxa .,1,0,0,0,0
Neta vanauda jatha haru ko dimakh yetro sochne vaye aaja yo durdasa hunthyo nepal ko,1,0,0,1,0
"Kina rey????
Laass bolxa???",1,0,0,0,0
kun din vukampa janxa sure ,0,0,0,0,0
bro paudikhelna jam yar,0,0,0,0,0
